url,price_rub,address,rooms,total_area_m2,floor,floors_total
https://krasnodar.cian.ru/sale/flat/327480623/?context=3.UPbO8MX-kvk.861zZCRHRYYqrRJ4LsaH8HeJf2kSX1s76HrXCHbHzQqj7hdY5b8aJ1FadEg7RxlzuYsL_z2rgIgz0w&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,3000000,"Краснодар, Прикубанский",2,60.0,8,22
https://krasnodar.cian.ru/sale/flat/326002606/?context=3.U3JXZn7eSpk.43GTfXY26Vgn18C-9bkrXl0gje8FpLkofKzg3z7OtxdGuRX7bRqVDuwdWxrfodTZzED7MYAbqpcxxA&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,3000000,"Краснодар, Прикубанский",0,22.7,8,19
https://krasnodar.cian.ru/sale/flat/323124908/?context=3.hlBJz13OST0.8etq1uvG-V9JH0wybCDsEVjezWhGMKYUasCJ7Dviwkv0dcyRVcx14WUr5X7RgBQxZIUpevkzFPTGsw&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,3000000,"Краснодар, Прикубанский",1,37.0,9,16
https://krasnodar.cian.ru/sale/flat/327387242/?context=3.9tFjaKKTrdo.3nim5piYak-N-21L6TF-69mhJZ-L0KgehJ0Y20nD61W5v6W8_A8thsSJAFnnmN4FnlH1fG5wQrmTJA&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,3000000,"Краснодар, Прикубанский",1,32.0,9,16
https://krasnodar.cian.ru/sale/flat/327701384/?context=3.wKpI_p8I91o.16plhr1kv84pKQNMDJd05vMsG4CXttVsCltx_EvYUprzM7t8KEcAM9GnvZ8hzmd_8tnZjRQlga3mjg&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,3150000,"Краснодар, Прикубанский",1,36.1,2,14
https://maykop.cian.ru/sale/flat/265191294/?context=3.FCK8wTN4oFE.FM0h1i1doYlELsuAWHyaT8wlStl4KqVJlrkBssS4-oDcaOdWRY_SZ-NoyG6cNE86VI9n5hQGkChVZQ&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,3180000,Краснодар,0,31.8,5,5
https://krasnodar.cian.ru/sale/flat/323124324/?context=3.T8tRzOSjEaQ.o0HWC_lqP6UHWfelCMQRpaQXmJpd1pZL6cIKEWjr4aYPmnwKfySl6MjYEO5qOSIDfBp0M2BUZFZpHw&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,3200000,"Краснодар, Прикубанский",1,39.0,1,10
https://krasnodar.cian.ru/sale/flat/321948581/?context=3.Hyd6P6a_ZUM.TIpyVRGitZJNYhzSMbrnOg2hknJxVsfZDAppy12FTctEDJUWgLNysQToCXtRjx4dFOWTZRGftjwQfQ&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,3200000,"Краснодар, Прикубанский",0,25.0,3,5
https://krasnodar.cian.ru/sale/flat/327621677/?context=3.orPoaoON0Aw.2BMTa_eWSoT9-zicAh_8CMls8JBqAV741Xv29WCTgP9uJgU6oMObCdLcSoO81mJS1DMlt8FwdvDceg&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,3200000,"Краснодар, Прикубанский",2,38.9,4,5
https://krasnodar.cian.ru/sale/flat/301221627/?context=3.p72vYMbDBYc.8WmUhHpK_86tfi8ZxVhy0k_6R9qoqC2NdT4FEjm-YqABFFoAs79fMvPHIzy7Y6iOmxlS4LIXCC0y7A&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,3200000,"Краснодар, Западный",0,30.5,5,16
